content,label,tokens
圆管式膜组件的结构怎样,1,"['圆', '管式', '膜', '组件', '的', '结构', '怎样']"
圆管式膜组件其结构主要是把膜和支撑体均制成管状使两者装在一起或者将膜直接刮制在支撑管内或管外再将一定数量的这种膜管以一定方式连成一体而组成其外形极似列管式换热器,0,"['圆', '管式', '膜', '组件', '其', '结构', '主要', '是', '把', '膜', '和', '支撑', '体均', '制成', '管状', '使', '两者', '装在', '一起', '或者', '将', '膜', '直接', '刮制', '在', '支撑', '管内', '或', '管外', '再', '将', '一定', '数量', '的', '这种', '膜', '管以', '一定', '方式', '连成', '一体', '而', '组成', '其', '外形', '极似', '列管式', '换热器']"
圆管式膜组件分内压型和外压型,0,"['圆', '管式', '膜', '组件', '分内', '压型', '和', '外', '压型']"
内压型单管式分内压型单管式和管束式两种,0,"['内', '压型', '单管', '式', '分内', '压型', '单管', '式', '和', '管束', '式', '两种']"
内压型单管式其中膜管是以被裹以尼龙布滤纸一类的支撑材料材料并被镶入耐压管内膜管的末端被做成喇叭口形然后以像皮垫圈密封原水是由管式组件的一端注入于另一端流出淡水透过膜后于支撑体中汇集再由耐压管上的细孔中流出具体使用时是把许多这种管式组件以并联或串联的形式组装成一个大的膜组件,0,"['内', '压型', '单管', '式', '其中', '膜', '管', '是', '以', '被', '裹', '以', '尼龙布', '滤纸', '一类', '的', '支撑', '材料', '材料', '并', '被', '镶入', '耐压', '管', '内膜', '管', '的', '末端', '被', '做成', '喇叭口', '形', '然后', '以像', '皮垫圈', '密封', '原水', '是', '由', '管式', '组件', '的', '一端', '注入', '于', '另一端', '流出', '淡水', '透过', '膜', '后', '于', '支撑', '体中', '汇集', '再', '由', '耐压', '管上', '的', '细孔', '中', '流出', '具体', '使用', '时', '是', '把', '许多', '这种', '管式', '组件', '以', '并联', '或', '串联', '的', '形式', '组装', '成', '一个', '大', '的', '膜', '组件']"
内压型管束式这是在多孔性耐压管内壁上直接喷注成膜再把许多耐压膜管装配成相连的管束然后把管束装置在一个大的收集管内构成管束式淡化装置原水由装配端的进口流入经耐压管内壁的膜管于另一端流出淡水透过膜后由收集管汇集,0,"['内', '压型', '管束', '式', '这', '是', '在', '多孔性', '耐压', '管内', '壁上', '直接', '喷注', '成膜', '再', '把', '许多', '耐压', '膜', '管', '装配成', '相连', '的', '管束', '然后', '把', '管束', '装置', '在', '一个', '大', '的', '收集', '管内', '构成', '管束', '式', '淡化', '装置', '原水', '由', '装配', '端的', '进口', '流入', '经', '耐压', '管', '内壁', '的', '膜', '管于', '另一端', '流出', '淡水', '透过', '膜', '后', '由', '收集', '管', '汇集']"
外压型圆管式,0,"['外', '压型', '圆', '管式']"
与内压型圆管式相反分离膜是被刮制在管的外表面上水的透过方向是由管外向管内的,0,"['与', '内', '压型', '圆', '管式', '相反', '分离', '膜', '是', '被', '刮制', '在', '管', '的', '外表', '面上', '水', '的', '透过', '方向', '是', '由管', '外向', '管内', '的']"
螺旋卷式膜组件是怎样的一种结构,1,"['螺旋', '卷式', '膜', '组件', '是', '怎样', '的', '一种', '结构']"
螺旋卷式膜组件又称卷式膜组件是由美国于年研制成功的是目前反渗透超滤及气体分离过程中最重要的膜组件形式在反渗透领域中占据了大部分市场份额高达左右,0,"['螺旋', '卷式', '膜', '组件', '又称', '卷式', '膜', '组件', '是', '由', '美国', '于', '年', '研制成功', '的', '是', '目前', '反渗透', '超滤', '及', '气体', '分离', '过程', '中', '最', '重要', '的', '膜', '组件', '形式', '在', '反渗透', '领域', '中', '占据', '了', '大部分', '市场份额', '高', '达', '左右']"
螺旋卷式膜组件的结构是由中间为多孔支撑材料两边是膜的双层结构装配组成的也就是把膜多孔支撑体膜原水侧隔网依次叠合绕中心集水管紧密地绕卷在一起形成一个膜元件再装进圆柱形压力容器里构成一个螺旋卷式膜组件被处理的水沿着与中心管平行的方向在隔网中流动浓缩液由压力容器的另一端引出而渗透液淡水汇集到中央集水管中被引导出来,0,"['螺旋', '卷式', '膜', '组件', '的', '结构', '是', '由', '中间', '为', '多孔', '支撑', '材料', '两边', '是', '膜', '的', '双层结构', '装配', '组成', '的', '也', '就是', '把', '膜', '多孔', '支撑', '体膜', '原水', '侧', '隔网', '依次', '叠合', '绕', '中心', '集水管', '紧密', '地绕', '卷', '在', '一起', '形成', '一个', '膜', '元件', '再', '装进', '圆柱形', '压力容器', '里', '构成', '一个', '螺旋', '卷式', '膜', '组件', '被', '处理', '的', '水', '沿着', '与', '中心', '管', '平行', '的', '方向', '在', '隔', '网中', '流动', '浓缩液', '由', '压力容器', '的', '另一端', '引出', '而', '渗透', '液', '淡水', '汇集', '到', '中央', '集水管', '中', '被', '引导', '出来']"
在实际应用中通常是把几个膜元件的中心管密封串联起来再安装到压力容器中组成一个单元,0,"['在', '实际', '应用', '中', '通常', '是', '把', '几个', '膜', '元件', '的', '中心', '管', '密封', '串联', '起来', '再', '安装', '到', '压力容器', '中', '组成', '一个', '单元']"
中空纤维式膜组件的结构怎样,1,"['中空', '纤维', '式', '膜', '组件', '的', '结构', '怎样']"
中空纤维式膜是一种极细的空心膜管它本身不需要支撑材料就可以耐很高的压力它实际上是一根厚壁的环柱体纤维的外径有的细如人发约为内径为其特点是具有在高压下不产生形变的强度,0,"['中空', '纤维', '式', '膜', '是', '一种', '极细', '的', '空心', '膜', '管', '它', '本身', '不', '需要', '支撑', '材料', '就', '可以', '耐', '很', '高', '的', '压力', '它', '实际上', '是', '一根', '厚壁', '的', '环', '柱体', '纤维', '的', '外径', '有', '的', '细如人', '发约', '为', '内径', '为', '其', '特点', '是', '具有', '在', '高压', '下', '不', '产生', '形变', '的', '强度']"
中空纤维膜组件的组装是把大量有时是几十万或更多的中空纤维膜弯成形而装入圆筒型耐压容器内纤维束的开口端用环氧树脂浇铸成管板纤维束的中心轴部安装一根原料液分布管使原液径向均匀流过纤维束纤维束的外部包以网布使纤维束固定并促进原液的湍流状态淡水透过纤维的管壁后沿纤维的中空内腔经管板放出被浓缩了原水则在容器的另一端排掉,0,"['中空', '纤维', '膜', '组件', '的', '组装', '是', '把', '大量', '有时', '是', '几十万', '或', '更', '多', '的', '中空', '纤维', '膜', '弯', '成形', '而', '装入', '圆筒', '型', '耐压', '容器', '内', '纤维', '束', '的', '开口', '端用', '环氧树脂', '浇铸', '成管板', '纤维', '束', '的', '中心', '轴部', '安装', '一根', '原料', '液', '分布', '管使', '原液', '径向', '均匀', '流过', '纤维', '束', '纤维', '束', '的', '外部', '包以', '网布', '使', '纤维', '束', '固定', '并', '促进', '原液', '的', '湍流', '状态', '淡水', '透过', '纤维', '的', '管壁', '后', '沿', '纤维', '的', '中空', '内腔', '经管', '板', '放出', '被', '浓缩', '了', '原水', '则', '在', '容器', '的', '另一端', '排掉']"
中空纤维式装置的主要优点是单位体积内的有效膜表面积比率高故可采用透水率较低而物理化学稳定性好的尼龙中空纤维该膜不需要支撑材料寿命可达年,0,"['中空', '纤维', '式', '装置', '的', '主要', '优点', '是', '单位', '体积', '内', '的', '有效', '膜', '表面积', '比率', '高故', '可', '采用', '透水', '率', '较', '低', '而', '物理化学', '稳定性', '好', '的', '尼龙', '中空', '纤维', '该膜', '不', '需要', '支撑', '材料', '寿命', '可达', '年']"
各类膜分离器有哪些优缺点其特性如何,1,"['各类', '膜', '分离器', '有', '哪些', '优缺点', '其', '特性', '如何']"
各类膜分离器的优缺点如下表,0,"['各类', '膜', '分离器', '的', '优缺点', '如下', '表']"
适于大容量规模,0,"['适于', '大容量', '规模']"
已商业化,0,"['已', '商业化']"
制作工艺和技术复杂,0,"['制作', '工艺', '和', '技术', '复杂']"
易堵塞清洗不易,0,"['易', '堵塞', '清洗', '不易']"
膜的堆积密度大,0,"['膜', '的', '堆积', '密度', '大']"
不需外加支撑材料,0,"['不需', '外加', '支撑', '材料']"
浓差极化可忽略,0,"['浓差', '极化', '可', '忽略']"
价格低廉,0,['价格低廉']
中,0,['中']
空,0,['空']
纤,0,['纤']
维,0,['维']
式,0,['式']
适于大容量规模,0,"['适于', '大容量', '规模']"
已商业化,0,"['已', '商业化']"
制作工艺和技术较复杂密封较困难,0,"['制作', '工艺', '和', '技术', '较', '复杂', '密封', '较', '困难']"
易堵塞不易清洗,0,"['易', '堵塞', '不', '易清洗']"
不宜在高压下操作,0,"['不宜', '在', '高压', '下', '操作']"
膜堆积密度大结构紧凑,0,"['膜', '堆积', '密度', '大', '结构紧凑']"
可使用强度好的平板膜,0,"['可', '使用', '强度', '好', '的', '平板', '膜']"
价格低廉,0,['价格低廉']
螺,0,['螺']
旋,0,['旋']
卷,0,['卷']
式,0,['式']
适于中小容量规模,0,"['适于', '中小', '容量', '规模']"
已商业化,0,"['已', '商业化']"
装置成本高,0,"['装置', '成本', '高']"
管口密封较困难,0,"['管', '口', '密封', '较', '困难']"
膜的堆积密度小,0,"['膜', '的', '堆积', '密度', '小']"
膜容量清洗和更换,0,"['膜', '容量', '清洗', '和', '更换']"
原水流动状态好压力损失较小耐较高压力,0,"['原水', '流动', '状态', '好', '压力', '损失', '较小耐较', '高', '压力']"
能处理含有悬浮物的黏度高的或者能析出固体等易堵塞流水通道的溶液体系,0,"['能', '处理', '含有', '悬浮物', '的', '黏度', '高', '的', '或者', '能', '析出', '固体', '等易', '堵塞', '流水', '通道', '的', '溶液', '体系']"
管,0,['管']
式,0,['式']
适于小容量规模,0,"['适于', '小', '容量', '规模']"
已商业化,0,"['已', '商业化']"
装置成本高流动状态不良浓差极化严重,0,"['装置', '成本', '高', '流动', '状态', '不良', '浓差', '极化', '严重']"
易堵塞不易清洗膜的堆积密度较小,0,"['易', '堵塞', '不', '易清洗', '膜', '的', '堆积', '密度', '较', '小']"
结构紧凑简单牢固能承受高压,0,"['结构紧凑', '简单', '牢固', '能', '承受', '高压']"
可使用强度较高的平板膜,0,"['可', '使用', '强度', '较', '高', '的', '平板', '膜']"
性能稳定工艺简便,0,"['性能', '稳定', '工艺', '简便']"
板,0,['板']
框,0,['框']
式,0,['式']
使用状况,0,"['使用', '状况']"
缺点,0,['缺点']
优点,0,['优点']
类型,0,['类型']
它们的特性比较如下表,0,"['它们', '的', '特性', '比较', '如下', '表']"
指以溶液作为原液脱盐率达时的透水率,0,"['指以', '溶液', '作为', '原液', '脱盐', '率达时', '的', '透水', '率']"
对反渗透膜性能有何要求醋酸纤维素膜与聚酰胺复合膜的性能如何,1,"['对', '反渗透膜', '性能', '有何', '要求', '醋酸纤维', '素膜', '与', '聚酰胺', '复合膜', '的', '性能', '如何']"
反渗透分离过程的主要关键是要求膜具有较高的透水速度和脱盐性能故对反渗透膜要求具有下列性能,0,"['反渗透', '分离', '过程', '的', '主要', '关键', '是', '要求', '膜', '具有', '较', '高', '的', '透水', '速度', '和', '脱盐', '性能', '故对', '反渗透膜', '要求', '具有', '下列', '性能']"
单位膜面积的透水速度快脱盐率高,0,"['单位', '膜', '面积', '的', '透水', '速度', '快', '脱盐', '率高']"
机械强度好压密实作用小,0,"['机械', '强度', '好压', '密实', '作用', '小']"
化学稳定性好能耐酸碱和微生物的侵袭,0,"['化学', '稳定性', '好能', '耐酸碱', '和', '微生物', '的', '侵袭']"
使用寿命长性能衰减小,0,"['使用寿命', '长', '性能', '衰减', '小']"
醋酸纤维素膜是最先发展起来的反渗透膜但由于醋酸纤维素是一种酯类易发生水解水解的结果是将降低乙酰基的含量使膜的性能受到损害同时膜也更易受到生物的侵袭近年发展起来的聚酰胺复合膜由于各种性能优越已逐渐取代醋酸纤维素膜该两种膜的性能对比如下表,0,"['醋酸纤维', '素膜', '是', '最先', '发展', '起来', '的', '反渗透膜', '但', '由于', '醋酸纤维', '素是', '一种', '酯类', '易', '发生', '水解', '水解', '的', '结果', '是', '将', '降低', '乙酰基', '的', '含量', '使膜', '的', '性能', '受到', '损害', '同时', '膜', '也', '更易', '受到', '生物', '的', '侵袭', '近年', '发展', '起来', '的', '聚酰胺', '复合膜', '由于', '各种', '性能优越', '已', '逐渐', '取代', '醋酸纤维', '素膜', '该', '两种', '膜', '的', '性能', '对比', '如下', '表']"
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
板框式,0,"['板框', '式']"
内压管式,0,"['内压', '管式']"
外压管式,0,"['外压', '管式']"
螺旋卷式,0,"['螺旋', '卷式']"
中空纤维式,0,"['中空', '纤维', '式']"
单位体积的透水量,0,"['单位', '体积', '的', '透', '水量']"
,0,['nan']
,0,['nan']
透水率,0,"['透水', '率']"
,0,['nan']
,0,['nan']
操作压力高限,0,"['操作', '压力', '高限']"
,0,['nan']
膜堆积密度,0,"['膜', '堆积', '密度']"
,0,['nan']
类型,0,['类型']
为什么反渗透膜的性能会下降如何处理,1,"['为什么', '反渗透膜', '的', '性能', '会', '下降', '如何', '处理']"
反渗透膜的性能下降主要原因是由于膜表面受到了污染如表面结垢膜面堵塞或是膜本身的物理化学变化而引起的物理变化主要是由于压实效应引起膜的透水率下降化学变化主要是由于值的波动而引起的如使醋酸纤维素膜水解游离氯也会使芳香聚酰胺膜性能恶化反渗透膜污染堵塞的主要原因是由于膜面沉积和微生物的滋长而引起的其中微生物不仅堵塞膜并对醋酸纤维素有侵蚀损害作用因此在膜内必须保持一定的余氯量但是余氯太高又会引起膜性能下降故在醋酸纤素膜前保持余氯而在芳香聚酰胺膜前余氯要小于,0,"['反渗透膜', '的', '性能', '下降', '主要', '原因', '是', '由于', '膜', '表面', '受到', '了', '污染', '如', '表面', '结垢', '膜面', '堵塞', '或是', '膜', '本身', '的', '物理化学', '变化', '而', '引起', '的', '物理变化', '主要', '是', '由于', '压实', '效应', '引起', '膜', '的', '透水', '率', '下降', '化学变化', '主要', '是', '由于', '值', '的', '波动', '而', '引起', '的', '如', '使', '醋酸纤维', '素膜', '水解', '游离', '氯', '也', '会', '使', '芳香', '聚酰胺', '膜', '性能', '恶化', '反渗透膜', '污染', '堵塞', '的', '主要', '原因', '是', '由于', '膜面', '沉积', '和', '微生物', '的', '滋长', '而', '引起', '的', '其中', '微生物', '不仅', '堵塞', '膜', '并', '对', '醋酸纤维', '素有', '侵蚀', '损害', '作用', '因此', '在', '膜', '内', '必须', '保持', '一定', '的', '余氯', '量', '但是', '余氯', '太高', '又', '会', '引起', '膜', '性能', '下降', '故', '在', '醋酸', '纤素', '膜', '前', '保持', '余氯', '而', '在', '芳香', '聚酰胺', '膜', '前', '余氯', '要', '小于']"
价格较便宜,0,"['价格', '较', '便宜']"
抗氯性较差价格较高,0,"['抗氯性', '较差', '价格', '较', '高']"
,0,['nan']
使用寿命一般仅三年,0,"['使用寿命', '一般', '仅', '三年']"
使用寿命较长一般使用五年以上性能仍基本不变,0,"['使用寿命', '较长', '一般', '使用', '五年', '以上', '性能', '仍', '基本', '不变']"
,0,['nan']
膜透水速度较小要求工作压力高耗电量也较高,0,"['膜', '透水', '速度', '较', '小', '要求', '工作', '压力', '高', '耗电量', '也', '较', '高']"
膜透水速度高故工作压力低耗电量也较低,0,"['膜', '透水', '速度', '高故', '工作', '压力', '低', '耗电量', '也', '较', '低']"
,0,['nan']
在运行中膜会被压紧因而产水量会不断下降,0,"['在', '运行', '中膜会', '被', '压紧', '因而', '产水量', '会', '不断', '下降']"
膜在运行中不会被压紧因此产水量不随使用时间而改变,0,"['膜', '在', '运行', '中', '不会', '被', '压紧', '因此', '产水量', '不随', '使用', '时间', '而', '改变']"
,0,['nan']
只能在值范围内运行,0,"['只能', '在', '值', '范围', '内', '运行']"
有较的值适用范围可在值中运行,0,"['有', '较', '的', '值', '适用范围', '可在值', '中', '运行']"
,0,['nan']
易受微生物侵袭,0,"['易受', '微生物', '侵袭']"
生物稳定性好不受微生物侵袭,0,"['生物', '稳定性', '好', '不受', '微生物', '侵袭']"
,0,['nan']
脱盐率逐年衰减,0,"['脱盐', '率', '逐年', '衰减']"
脱盐率高,0,"['脱盐', '率高']"
,0,['nan']
不可避免地会发生水解脱盐率会衰减,0,"['不可避免', '地会', '发生', '水解', '脱盐', '率会', '衰减']"
化学稳定性好不会发生水解脱盐率基本不变,0,"['化学', '稳定性', '好', '不会', '发生', '水解', '脱盐', '率', '基本', '不变']"
,0,['nan']
醋酸纤维膜,0,"['醋酸纤维', '膜']"
聚酰胺复合膜,0,"['聚酰胺', '复合膜']"
序号,0,['序号']
反渗透膜的清洗处理是一个细致而又烦杂的工作目前国产膜的质量还不够高多次清洗膜易损坏为了减轻清洗工作必须要搞好前处理严格把好水质关否则后患无穷,0,"['反渗透膜', '的', '清洗', '处理', '是', '一个', '细致', '而', '又', '烦杂', '的', '工作', '目前', '国产', '膜', '的', '质量', '还', '不够', '高', '多次', '清洗', '膜易', '损坏', '为了', '减轻', '清洗', '工作', '必须', '要', '搞好', '前', '处理', '严格', '把', '好', '水质', '关', '否则', '后患无穷']"
处理的方法是定期用甲醛溶液或质量浓度的新洁尔灭循环清洗处理至少已经污染的膜要用柠檬酸铵溶液进行清洗或用亚硫酸氢钠六偏磷酸钠稀盐酸等来防止锰铁及碳酸盐的结垢有时也用酶洗涤剂对有机物进行清洗清洗压力控制在清洗流速为原来水处理流速的倍,0,"['处理', '的', '方法', '是', '定期', '用', '甲醛', '溶液', '或', '质量', '浓度', '的', '新洁尔灭', '循环', '清洗', '处理', '至少', '已经', '污染', '的', '膜', '要', '用', '柠檬酸', '铵', '溶液', '进行', '清洗', '或用', '亚硫酸氢钠', '六偏', '磷酸钠', '稀盐酸', '等', '来', '防止', '锰铁', '及', '碳酸盐', '的', '结垢', '有时', '也', '用', '酶', '洗涤剂', '对', '有机物', '进行', '清洗', '清洗', '压力', '控制', '在', '清洗', '流速', '为', '原来', '水', '处理', '流速', '的', '倍']"
反渗透技术有什么用途,1,"['反渗透', '技术', '有', '什么', '用途']"
反渗透技术通常用于海水苦咸水的淡化水的软化处理废水处理以及食品医药工业的提纯浓缩分离等方面此外反渗透技术应用于预除盐处理也取得较好的效果能够使离子交换树脂的负荷减轻以上树脂的再生剂用量也可减少因此不仅节约费用而且还有利于环境保护反渗透技术还可用于除去水中的微粒有机物质胶体物质对减轻离子交换树脂的污染延长使用寿命都有着良好的作用,0,"['反渗透', '技术', '通常', '用于', '海水', '苦咸水', '的', '淡化', '水', '的', '软化', '处理', '废水处理', '以及', '食品', '医药工业', '的', '提纯', '浓缩', '分离', '等', '方面', '此外', '反渗透', '技术', '应用', '于', '预除', '盐', '处理', '也', '取得', '较', '好', '的', '效果', '能够', '使', '离子交换', '树脂', '的', '负荷', '减轻', '以上', '树脂', '的', '再生', '剂', '用量', '也', '可', '减少', '因此', '不仅', '节约', '费用', '而且', '还', '有利于', '环境保护', '反渗透', '技术', '还', '可', '用于', '除去', '水中', '的', '微粒', '有机', '物质', '胶体', '物质', '对', '减轻', '离子交换', '树脂', '的', '污染', '延长', '使用寿命', '都', '有着', '良好', '的', '作用']"
反渗透的透水率除盐率回收水率如何计算,1,"['反渗透', '的', '透水', '率除', '盐率', '回收', '水率', '如何', '计算']"
透水率,0,"['透水', '率']"
,0,['nan']
式中单位时间内渗透的水量,0,"['式', '中', '单位', '时间', '内', '渗透', '的', '水量']"
单位膜面积,0,"['单位', '膜', '面积']"
除盐率,0,['除盐率']
,0,['nan']
式中反渗透处理进水中的含盐量,0,"['式', '中', '反渗透', '处理', '进', '水中', '的', '含盐量']"
反渗透处理出水中的含盐量,0,"['反渗透', '处理', '出', '水中', '的', '含盐量']"
回收水率,0,"['回收', '水率']"
,0,['nan']
式中渗透出水水量,0,"['式', '中', '渗透', '出水', '水量']"
进水量,0,"['进', '水量']"
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
,0,['nan']
反渗透处理有哪些组合形式,1,"['反渗透', '处理', '有', '哪些', '组合', '形式']"
反渗透模件的组合形式大致有下列几种,0,"['反渗透', '模件', '的', '组合', '形式', '大致', '有', '下列', '几种']"
多级串联处理当水源水中含盐量较高同进对反渗透出水水质要求又比较高时可采用多级串联方式即将第一级出水作为第二级进水在这种处理方式下第二级的排水浓水水质远较第一级的进水水质为优可与第一级的进水混合作为进水在几级串联型式中需有中间贮水箱及高压泵等,0,"['多级', '串联', '处理', '当', '水源', '水中', '含盐量', '较', '高同', '进对', '反渗透', '出水', '水质', '要求', '又', '比较', '高时', '可', '采用', '多级', '串联', '方式', '即将', '第一级', '出水', '作为', '第二级', '进水', '在', '这种', '处理', '方式', '下', '第二级', '的', '排水', '浓水', '水质', '远较', '第一级', '的', '进水', '水质', '为', '优可', '与', '第一级', '的', '进水', '混合', '作为', '进水', '在', '几级', '串联', '型式', '中', '需有', '中间', '贮', '水箱', '及', '高压泵', '等']"
多级组合处理当水源水中含盐量不太高时为了获得较高的回收水率可采用多段组合型式第一段的浓水进入第二段作为进水然后将两段的渗透出水混合作为产品水必杳可再增加一段即将第二段浓水作为第三段的进水第三段渗透出水与前两段出水汇合成产品水即淡水,0,"['多级', '组合', '处理', '当', '水源', '水中', '含盐量', '不太高时', '为了', '获得', '较', '高', '的', '回收', '水率', '可', '采用', '多', '段', '组合', '型式', '第一段', '的', '浓水', '进入', '第二段', '作为', '进水', '然后', '将', '两段', '的', '渗透', '出水', '混合', '作为', '产品', '水必', '杳', '可', '再', '增加', '一段', '即将', '第二段', '浓水', '作为', '第三段', '的', '进水', '第三段', '渗透', '出水', '与', '前', '两段', '出水', '汇合', '成', '产品', '水即', '淡水']"
这种方式的优点是可降低水耗提高回收水率,0,"['这种', '方式', '的', '优点', '是', '可', '降低', '水耗', '提高', '回收', '水率']"
带中间升压泵的三段连接方式在水源特别缺乏的地区为了尽可能节约用水即使水源水质较差含盐较高也希望获得较高的回收水率此时在多段组合的各段之间由于每一级进水的含盐量都很高必须设置高压泵以保证压差达到要求值这种连接方式第一二段的浓水作为下一段的进水而进一步处理只有第三段的浓水排出系统同时各段反渗透设备的除盐量要逐段递增才能保证最终出水水质,0,"['带', '中间', '升压', '泵', '的', '三段', '连接', '方式', '在', '水源', '特别', '缺乏', '的', '地区', '为了', '尽可能', '节约用水', '即使', '水源', '水质', '较差', '含盐', '较', '高', '也', '希望', '获得', '较', '高', '的', '回收', '水率', '此时', '在', '多', '段', '组合', '的', '各段', '之间', '由于', '每', '一级', '进水', '的', '含盐量', '都', '很', '高', '必须', '设置', '高压泵', '以', '保证', '压差', '达到', '要求', '值', '这种', '连接', '方式', '第一二', '段', '的', '浓水', '作为', '下', '一段', '的', '进水', '而', '进一步', '处理', '只有', '第三段', '的', '浓水', '排出', '系统', '同时', '各段', '反渗透', '设备', '的', '除', '盐量', '要', '逐段', '递增', '才能', '保证', '最终', '出水', '水质']"
各种反渗透膜的主要功能有什么不同,1,"['各种', '反渗透膜', '的', '主要', '功能', '有', '什么', '不同']"
各种反渗透膜其主要功能比较如下,0,"['各种', '反渗透膜', '其', '主要', '功能', '比较', '如下']"
反渗透膜受到污染的原因是什么有什么特征,1,"['反渗透膜', '受到', '污染', '的', '原因', '是', '什么', '有', '什么', '特征']"
反渗透膜受到污染的主要原因是由金属氧化物沉积引起的常见的金属氧化物有氢氧化铁氢氧化铝和氧化锰等还有微生物黏泥水中的悬浮物与胶体物质在膜表面的沉积以及碳氢化物和硅酮基的油及酯类覆盖膜面等其特性如下表所示,0,"['反渗透膜', '受到', '污染', '的', '主要', '原因', '是', '由', '金属', '氧化物', '沉积', '引起', '的', '常见', '的', '金属', '氧化物', '有', '氢氧化铁', '氢氧化铝', '和', '氧化锰', '等', '还有', '微生物', '黏', '泥水', '中', '的', '悬浮物', '与', '胶体', '物质', '在', '膜', '表面', '的', '沉积', '以及', '碳氢化物', '和', '硅酮', '基的', '油及', '酯类', '覆盖', '膜面', '等', '其', '特性', '如下', '表', '所示']"
中,0,['中']
小,0,['小']
低,0,['低']
良,0,['良']
中,0,['中']
中,0,['中']
中,0,['中']
简易,0,['简易']
好,0,['好']
高,0,['高']
中高,0,"['中', '高']"
大,0,['大']
中,0,['中']
中,0,['中']
中,0,['中']
中,0,['中']
中,0,['中']
复杂,0,['复杂']
一,0,['一']
低,0,['低']
高,0,['高']
中大,0,"['中', '大']"
大,0,['大']
良,0,['良']
良,0,['良']
良,0,['良']
良,0,['良']
普通,0,['普通']
好,0,['好']
低,0,['低']
中,0,['中']
中,0,['中']
大,0,['大']
良,0,['良']
中,0,['中']
中,0,['中']
中,0,['中']
普通,0,['普通']
好,0,['好']
低,0,['低']
盐去除率,0,"['盐', '去除率']"
透过水量,0,"['透过', '水量']"
回收水率,0,"['回收', '水率']"
耐久性,0,['耐久性']
耐热性,0,['耐热性']
耐压性,0,['耐压性']
耐药品性,0,"['耐药', '品性']"
预处理,0,['预处理']
耐故障性,0,"['耐', '故障', '性']"
耐水价格,0,"['耐水', '价格']"
合成膜,0,"['合成', '膜']"
醋酸纤维膜,0,"['醋酸纤维', '膜']"
管状膜型,0,"['管状', '膜', '型']"
中空纤维型,0,"['中空', '纤维', '型']"
涡卷型,0,"['涡卷', '型']"
模件形式,0,"['模件', '形式']"
项目,0,['项目']
反渗透组件污染的一般特征,0,"['反渗透', '组件', '污染', '的', '一般', '特征']"
内发生周以上发生在无甲醛保护液情况下,0,"['内', '发生', '周', '以上', '发生', '在', '无', '甲醛', '保护', '液', '情况', '下']"
反渗透离子交换联合除盐处理有何优点,1,"['反渗透', '离子交换', '联合', '除盐', '处理', '有何', '优点']"
反渗透离子交换联合处理方式可以降低水源水质多变所带来的影响并可减少再生频率从而提高了水处理装置运行的灵活性和可靠性在水源的选择上也有了更大的余地例如原水含盐量从增至反渗透设备在工作压力出力仅降低而离子交换设备遇此情况必然会严重地降低交换容量这说明反渗透设备的出力与水质原水含盐量的关系不大只同工作压力差及水质成分所决定的渗透压差成比例变化这是反渗透工艺的一个很大的优点,0,"['反渗透', '离子交换', '联合', '处理', '方式', '可以', '降低', '水源', '水质', '多变', '所', '带来', '的', '影响', '并', '可', '减少', '再生', '频率', '从而', '提高', '了', '水', '处理', '装置', '运行', '的', '灵活性', '和', '可靠性', '在', '水源', '的', '选择', '上', '也', '有', '了', '更', '大', '的', '余地', '例如', '原水', '含盐量', '从', '增至', '反渗透', '设备', '在', '工作', '压力', '出力', '仅', '降低', '而', '离子交换', '设备', '遇此', '情况', '必然', '会', '严重', '地', '降低', '交换', '容量', '这', '说明', '反渗透', '设备', '的', '出力', '与', '水质', '原水', '含盐量', '的', '关系不大', '只同', '工作', '压力', '差及', '水质', '成分', '所', '决定', '的', '渗透压', '差成', '比例', '变化', '这是', '反渗透', '工艺', '的', '一个', '很大', '的', '优点']"
减少,0,['减少']
,0,['nan']
增加,0,['增加']
倍,0,['倍']
增加,0,['增加']
倍,0,['倍']
细菌,0,['细菌']
缓慢减少,0,"['缓慢', '减少']"
,0,['nan']
缓慢增加,0,"['缓慢', '增加']"
倍,0,['倍']
增加速度快,0,"['增加', '速度', '快']"
倍,0,['倍']
混合胶体,0,"['混合', '胶体']"
有机物等,0,"['有机物', '等']"
缓慢减少,0,"['缓慢', '减少']"
,0,['nan']
缓慢增加,0,"['缓慢', '增加']"
倍,0,['倍']
缓慢增加,0,"['缓慢', '增加']"
倍,0,['倍']
胶状物质,0,"['胶状', '物质']"
如胶体硅等,0,"['如', '胶体', '硅', '等']"
稍微减少,0,"['稍微', '减少']"
,0,['nan']
增加,0,['增加']
,0,['nan']
增加,0,['增加']
,0,['nan']
钙沉淀物,0,"['钙', '沉淀物']"
,0,['nan']
急速降低,0,"['急速', '降低']"
,0,['nan']
增加速度快,0,"['增加', '速度', '快']"
倍,0,['倍']
增加速度快,0,"['增加', '速度', '快']"
倍,0,['倍']
